"Pathway","n_genes","mean_CV","mean_VIF","high_CV_genes","high_VIF_genes","Name","noise_status","propagation_score"
"05131",60,0.103897943629945,2.52020390569075,4,2,"Shigellosis - Homo sapiens (human)","STABLE",NA
"00630",18,0.102924164655119,2.4892374805123,1,0,"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)","STABLE",NA
"00511",16,0.099938965977458,1.8693224557491,1,0,"Other glycan degradation - Homo sapiens (human)","STABLE",NA
"00190",112,0.0992492038866022,2.94382874428762,6,4,"Oxidative phosphorylation - Homo sapiens (human)","STABLE",NA
"00531",16,0.0960167300014628,1.86860469290613,1,0,"Glycosaminoglycan degradation - Homo sapiens (human)","STABLE",NA
"03420",44,0.0932318264406395,2.23328799240625,1,0,"Nucleotide excision repair - Homo sapiens (human)","STABLE",NA
"00730",4,0.0922535082136169,1.79215659051617,0,0,"Thiamine metabolism - Homo sapiens (human)","STABLE",NA
"00900",15,0.0898664375593087,1.92527277187936,0,0,"Terpenoid backbone biosynthesis - Homo sapiens (human)","STABLE",NA
"03410",33,0.0896797141790193,2.21533456950657,1,0,"Base excision repair - Homo sapiens (human)","STABLE",NA
"03013",143,0.0881663503540432,2.40564912456897,7,2,"Nucleocytoplasmic transport - Homo sapiens (human)","STABLE",NA
"00563",25,0.0876576358967921,2.22248318635697,0,0,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)","STABLE",NA
"03018",68,0.0873568878023648,2.25646473568923,2,0,"RNA degradation - Homo sapiens (human)","STABLE",NA
"04120",133,0.0864380453566077,2.3891710642492,2,4,"Ubiquitin mediated proteolysis - Homo sapiens (human)","STABLE",NA
"00061",5,0.0849677789451811,2.25518392249535,0,0,"Fatty acid biosynthesis - Homo sapiens (human)","STABLE",NA
"04141",161,0.0841404357810273,2.16616591003489,5,0,"Protein processing in endoplasmic reticulum - Homo sapiens (human)","STABLE",NA
"03010",86,0.0836488922880328,4.09546816450584,3,22,"Ribosome - Homo sapiens (human)","STABLE",NA
